words,count
amazing,23
one,22
sweet,21
rice,17
dal,16
tadka,16
meal,15
enjoy,14
paneer,14
masala,14
phulkas,13
delicious,13
dry,9
butter,9
milk,9
gobhi,8
aloo,8
veggie,6
day,6
salad,6
pickle,6
indian,6
bhindi,6
curd,5
fresh,5
parathas,4
spices,4
aromatic,4
coriander,4
serves,4
full,4
satisfaction,4
paratha,4
piece,4
wholesome,3
thali,3
sabzi,3
tossed,3
cooked,3
steamy,3
hot,3
refreshing,3
tomato,3
north,2
basic,2
splash,2
wheat,2
chapattis,2
soft,2
fluffy,2
perfection,2
treat,2
phulka,2
raita,2
yummy,2
bowl,2
bottle,2
buttermilk,2
onion,2
gravy,2
cucumber,2
garnishing,2
two,1
semi,1
traditional,1
vooshified,1
rich,1
leaves,1
freshly,1
made,1
crispy,1
carrot,1
fun,1
idea,1
dessert,1
end,1
goes,1
back,1
romans,1
prepared,1
quality,1
added,1
enhance,1
taste,1
